date;hongqiao_price;hongqiao_adj;hongqiao_volume
30.06.2020;3.550000;2.636798;6495500
02.07.2020;3.540000;2.759439;6643500
03.07.2020;3.690000;2.836091;6245800
06.07.2020;3.750000;3.234676;14480018
07.07.2020;4.150000;3.204016;11770931
08.07.2020;4.270000;3.311327;8676000
09.07.2020;4.340000;3.364983;9910314
10.07.2020;4.500000;3.395643;9269500
13.07.2020;4.500000;3.610267;12438568
14.07.2020;4.700000;3.617932;10494500
15.07.2020;4.770000;3.679253;9803500
16.07.2020;4.750000;3.403308;10505000
17.07.2020;4.350000;3.364983;7189000
20.07.2020;4.380000;3.594937;6807796
21.07.2020;4.770000;3.456964;8023126
22.07.2020;4.670000;3.571941;8063990
23.07.2020;4.800000;3.548946;4221147
24.07.2020;4.650000;3.487625;8250500
27.07.2020;4.520000;3.403308;2402168
28.07.2020;4.500000;3.487625;2411000
29.07.2020;4.510000;3.525950;3183435
30.07.2020;4.610000;3.525950;1626564
31.07.2020;4.650000;3.410974;4088618
03.08.2020;4.510000;3.464629;2652922
04.08.2020;4.680000;3.587272;6015710
05.08.2020;4.710000;3.617932;2678083
06.08.2020;4.760000;3.794230;7753550
07.08.2020;4.980000;3.709913;2968000
10.08.2020;4.960000;3.602601;2484500
11.08.2020;4.790000;3.702248;5560186
12.08.2020;4.850000;3.679253;2682500
13.08.2020;4.770000;3.587272;1024790
14.08.2020;4.730000;3.648592;1735490
17.08.2020;4.900000;3.648592;2129391
18.08.2020;4.760000;3.717578;5505229
19.08.2020;4.940000;3.663923;1741667
20.08.2020;4.830000;3.717578;3727620
21.08.2020;4.840000;3.640927;3271722
24.08.2020;4.950000;3.725243;2524500
25.08.2020;4.900000;4.100834;15637000
26.08.2020;5.300000;4.070173;9107757
27.08.2020;5.340000;4.008852;2707810
28.08.2020;5.250000;3.985857;3575000
31.08.2020;5.270000;3.832555;6232000
01.09.2020;5.070000;4.054843;8033931
